bucket_id,bucket_name,pct,tokens_qdn,genesis_type,genesis_address,permanent_home,cliff_days,vest_months,cliff_release_pct,stakes,circulating,custody_final,notes
01,Adoption Programs,25,999000000,native_msig,<01_MSIG_ADDR>,stays native (genesis msig); IS the chain incentive-pool identity,0,0,0,no,no,native msig 3of5,"Merchant incentives, DID onboarding, loyalty, gas subsidies. Capped annual tranches. Took the 1% freed when Node Operations dropped to 1%: node sponsorship is onboarding, and this bucket already funds the wallet-incentive-pool and the gas subsidies that replaced per-node grants."
01,Wallet Incentive Pool,25,1000000,native_msig,<01_POOL_ADDR>,stays native (genesis msig); THE chain wallet-incentive-pool identity,0,0,0,no,no,native msig 3of5,"Funds create_wallet incentives, which x/qadena debits DIRECTLY from this account (500+500 per wallet, 50 per ephemeral). The chain finds it by hardcoded nodeID/nodeType ''wallet-incentive-pool'' and PANICS if absent. Part of bucket 01: onboarding is what Adoption Programs is for."
02,Long-Term Reserve,15,600000000,native_msig,<02_MSIG_ADDR>,"native msig -> PeriodicVestingAccount (Pattern A, 10yr)",0,120,0,no,no,native msig 4of7 + PeriodicVestingAccount (Pattern A),"10yr linear unlock ENFORCED by x/auth/vesting at a native 4of7 msig. 4of7 not 4of5: a vesting account can NEVER be migrated, so this signer set is FROZEN for the full 10 years -- 4of7 survives three simultaneous absences, 4of5 survives one. Governance-only."
03,Foundation Treasury,14,560000000,native_msig,<03_MSIG_ADDR>,"56M stays native (Pattern B); 504M -> native msig PeriodicVestingAccount (Pattern A, 6yr)",0,72,10,yes,partial,native msig 3of5 (56M liquid) + msig + PeriodicVestingAccount (504M),10% liquid for ops. Locked 504M is DELEGATED to consortium validators (locked stake works).
04,Builder & Partner Grants,11,440000000,native_msig,<04_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 3of5,"Integrators, POS, dev milestones. Vesting grant on delivery, start_time=grant date."
05,Personnel,8,320000000,native_msig,<05_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 3of5,"Team 6% (12mo cliff@25, 36mo) + Advisors 2% (6mo cliff@12.5, 18mo). Split charter-bound."
06,Early Backers Escrow,7,280000000,native_msig,<06_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 3of5,"Grants as addresses arrive: 12mo cliff@20, 36mo linear, start_time=TGE (backdated)."
07,Founders Escrow,5,200000000,native_msig,<07_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 3of5,"2 founders x 100M. Grant on address supply: 18mo cliff@12.5, 42mo, start_time=TGE. eth_secp256k1, never-used, personal 2of3 multisig advised."
09,Contingency Reserve,6,240000000,native_msig,<09_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 2of5,Security incident + regulatory response. LOW threshold for speed. Two named triggers in charter.
10,Public Sector Programs,8,320000000,native_msig,<10_MSIG_ADDR>,stays native (genesis msig); funds foundation-appsvr/foundation-users sponsors,0,0,0,no,no,native msig 5of7,"Sub-allocations: SEC PH VERITAS 60M; future MOUs; OTC swap reserve. Entities only, never individuals. Funds feegrant sponsor account."
12,Node Operations,1,39889900,native_msig,<12_MSIG_ADDR>,stays native (genesis msig),0,0,0,no,no,native msig 3of5,"Post-launch onboarding: 10000 self-bond per node is the OPERATOR'S OWN money (min-self-delegation floor); gas is FOUNDATION-SPONSORED by fee grant, not sent. So this reserve funds the node sponsor float, not per-node grants -- which is why the bucket is 1%, not 2%. Then foundation delegates. Commission is operator compensation."
12,Node Operations,1,110100,base,<12_QFI_PIONEER1_ADDR>,stays native (operator-owned),0,0,0,self-bond,yes,operator key,"qfi-pioneer1: the chain bootstrap identity, and ALSO the genesis validator -- one account, not two. A pioneer's external address is published only by updateIsValidator() on its first PROPOSED block, so a pioneer that never bonds never publishes, is never counted by getAddressPublishedPioneers, and never carries a secret share. 110,100 = 10,000 gentx self-bond (min-self-delegation floor) + 100,100 working balance for the SS re-share traffic a running pioneer broadcasts forever. NOT a bucket of its own -- funded from Node Operations, because bootstrapping the network is node operations. NOT foundation-sponsored."
